aX,aY,aZ
0.292,-0.39,-1.089
0.298,-0.346,-1.059
0.29,-0.309,-1.043
0.275,-0.291,-1.069
0.257,-0.308,-1.082
0.258,-0.323,-1.077
0.287,-0.349,-1.09
0.298,-0.409,-1.149
0.329,-0.466,-1.159
0.381,-0.5,-1.105
0.39,-0.502,-1.11
0.357,-0.488,-1.105
0.334,-0.428,-1.088
0.325,-0.386,-1.12
0.285,-0.371,-1.157
0.246,-0.365,-1.143
0.281,-0.412,-1.089
0.323,-0.449,-0.931
0.362,-0.464,-0.784
0.386,-0.435,-0.678
0.392,-0.389,-0.659
0.369,-0.367,-0.712
0.333,-0.38,-0.747
0.317,-0.409,-0.801
0.303,-0.429,-0.828
0.322,-0.492,-0.839
0.349,-0.51,-0.846
0.342,-0.497,-0.878
0.324,-0.497,-0.9
0.291,-0.49,-0.9
0.276,-0.477,-0.894
0.285,-0.484,-0.876
0.292,-0.621,-0.849
0.322,-0.529,-0.811
0.37,-0.584,-0.745
0.458,-0.63,-0.672
0.534,-0.689,-0.471
0.542,-0.653,-0.263
0.508,-0.544,-0.211
0.46,-0.416,-0.251
0.4,-0.419,-0.347
0.312,-0.463,-0.448
0.287,-0.536,-0.513
0.283,-0.577,-0.527
0.33,-0.647,-0.522
0.482,-0.693,-0.532
0.386,-0.72,-0.56
0.377,-0.734,-0.553
0.364,-0.753,-0.529
0.343,-0.739,-0.452
0.331,-0.686,-0.351
0.322,-0.659,-0.253
0.353,-0.642,-0.205
0.421,-0.687,-0.101
0.46,-0.777,0.029
0.508,-0.819,0.125
0.489,-0.844,0.176
0.433,-0.754,0.254
0.377,-0.619,0.219
0.298,-0.554,0.203
0.233,-0.502,0.179
0.168,-0.521,0.088
0.147,-0.597,-0.04
0.137,-0.638,-0.153
0.149,-0.703,-0.244
0.168,-0.749,-0.286
0.224,-0.8,-0.245
0.253,-0.819,-0.15
0.313,-0.819,-0.049
0.351,-0.794,0.037
0.36,-0.758,0.072
0.362,-0.732,0.158
0.372,-0.858,0.22
0.398,-0.77,0.25
0.384,-0.788,0.296
0.333,-0.763,0.323
0.27,-0.699,0.331
0.188,-0.626,0.379
0.118,-0.478,0.433
0.046,-0.426,0.459
0.041,-0.476,0.4
0.097,-0.629,0.279
0.115,-0.752,0.299
0.146,-0.737,0.385
0.113,-0.63,0.525
0.098,-0.579,0.719
0.152,-0.59,0.933
0.188,-0.575,1.097
0.19,-0.548,1.179
0.161,-0.519,1.21
0.107,-0.456,1.17
0.036,-0.448,1.095
0.012,-0.474,1.046
-0.01,-0.514,1.006
0.167,-0.588,1.356
0.155,-0.475,1.449
0.112,-0.482,1.352
0.048,-0.5,1.261
0.046,-0.517,1.193
0.049,-0.553,1.162
0.055,-0.595,1.15
0.05,-0.576,1.123
0.037,-0.549,1.073
0.031,-0.551,0.954
0.032,-0.58,0.834
0.017,-0.609,0.773
-0.003,-0.599,0.787
0.001,-0.58,0.862
0.028,-0.549,0.985
0.038,-0.555,1.039
0.044,-0.581,1.035
0.042,-0.604,1.021
0.024,-0.602,1.021
0.003,-0.574,1.014
-0.014,-0.551,0.993
-0.026,-0.541,0.967
-0.02,-0.553,0.941
0.006,-0.567,0.873
0.015,-0.59,0.826
0.008,-0.595,0.796
-0.015,-0.573,0.818
-0.029,-0.545,0.888
-0.034,-0.501,0.921
-0.03,-0.501,0.915
-0.013,-0.549,0.918
0.008,-0.574,0.923
0.01,-0.576,0.927
0.008,-0.571,0.918
-0.005,-0.554,0.911
-0.016,-0.532,0.894
0.002,-0.539,0.896
0.02,-0.549,0.878
0.023,-0.563,0.868
0.021,-0.573,0.851
0.02,-0.576,0.858
0.024,-0.568,0.871
0.022,-0.535,0.875
0.017,-0.519,0.858
0.016,-0.513,0.833
0.024,-0.528,0.83
0.039,-0.552,0.87
0.053,-0.556,0.909
0.042,-0.536,0.912
0.02,-0.511,0.894
0.008,-0.501,0.87
0.007,-0.51,0.86
0.012,-0.515,0.852
0.021,-0.524,0.821
0.045,-0.544,0.814
0.058,-0.568,0.825
0.055,-0.565,0.837
0.05,-0.549,0.852
0.046,-0.541,0.86
0.042,-0.536,0.863
0.04,-0.535,0.854
0.039,-0.533,0.847
0.035,-0.531,0.832
0.033,-0.531,0.827
0.027,-0.519,0.819
0.028,-0.509,0.793
0.052,-0.538,0.762
0.063,-0.567,0.738
0.068,-0.594,0.754
0.061,-0.578,0.804
0.048,-0.53,0.842
0.025,-0.495,0.86
0.017,-0.498,0.861
0.02,-0.516,0.863
0.03,-0.542,0.849
0.024,-0.545,0.837
0.021,-0.54,0.827
0.028,-0.545,0.819
0.048,-0.559,0.809
0.056,-0.569,0.782
0.053,-0.581,0.781
0.047,-0.562,0.811
0.053,-0.545,0.848
0.073,-0.555,0.865
0.08,-0.572,0.886
0.065,-0.569,0.883
0.06,-0.552,0.87
0.045,-0.545,0.849
0.029,-0.536,0.836
0.024,-0.543,0.835
0.036,-0.565,0.856
0.041,-0.576,0.872
0.049,-0.578,0.884
0.054,-0.588,0.868
0.056,-0.589,0.838
0.056,-0.591,0.82
0.047,-0.591,0.816
0.039,-0.578,0.825
0.035,-0.552,0.837
0.032,-0.542,0.85
0.034,-0.544,0.852
0.042,-0.559,0.845
0.045,-0.577,0.848
0.036,-0.573,0.876
0.033,-0.557,0.889
0.037,-0.552,0.902
0.039,-0.554,0.895
0.033,-0.554,0.89
0.027,-0.557,0.873
0.021,-0.558,0.856
0.027,-0.554,0.849
0.037,-0.555,0.842
0.044,-0.565,0.835
0.042,-0.568,0.84
0.04,-0.561,0.845
0.033,-0.553,0.845
0.029,-0.552,0.835
0.027,-0.551,0.841
0.027,-0.55,0.847
